conceptId,conceptName,C,C++,Rust,Zig,Java,C#,Kotlin,Swift,Go,Python,JavaScript,TypeScript,Dart,Ruby,PHP,Haskell,OCaml,Erlang/Elixir,Lisp/Clojure,Smalltalk,Prolog,APL/J,Forth,SQL,Ada,Scala
abstraction-over-types.inference,Inference,not-applicable,not-applicable,partial,not-applicable,not-applicable,not-applicable,partial,partial,not-applicable,absent-by-design,absent-by-design,partial,not-applicable,absent-by-design,not-applicable,first-class,first-class,absent-by-design,absent-by-design,absent-by-design,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
abstraction-over-types.kinded,Kinded,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
compilation-linkage.abi,Abi,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
compilation-linkage.allocation,Allocation,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
compilation-linkage.artifact,Artifact,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
compilation-linkage.ast,Ast,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
compilation-linkage.build,Build,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
compilation-linkage.calling,Calling,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
compilation-linkage.checking,Checking,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
compilation-linkage.compilation,Compilation,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
compilation-linkage.convention,Convention,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
compilation-linkage.cross,Cross,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
compilation-linkage.debug,Debug,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
compilation-linkage.dynamic,Dynamic,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
compilation-linkage.incremental,Incremental,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
compilation-linkage.information,Information,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
concurrency.actor,Actor,emulated,emulated,partial,emulated,partial,emulated,emulated,emulated,emulated,emulated,emulated,emulated,emulated,emulated,emulated,emulated,emulated,first-class,emulated,first-class,emulated,emulated,emulated,emulated,emulated,partial
concurrency.atomic,Atomic,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
concurrency.backpressure,Backpressure,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
concurrency.cancellation,Cancellation,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
concurrency.channel,Channel,partial,partial,partial,partial,partial,partial,partial,partial,first-class,partial,partial,partial,partial,partial,partial,partial,partial,partial,first-class,partial,partial,partial,partial,partial,partial,partial
concurrency.concurrency,Concurrency,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
concurrency.condition,Condition,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
concurrency.coroutine,Coroutine,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
concurrency.data,Data,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
concurrency.deadlock,Deadlock,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
concurrency.fiber,Fiber,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
concurrency.free,Free,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
concurrency.livelock,Livelock,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
concurrency.lock,Lock,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
data-modelling.aggregate,Aggregate,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
data-modelling.algebraic,Algebraic,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
data-modelling.bounded,Bounded,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
data-modelling.class,Class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
data-modelling.constructor,Constructor,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
data-modelling.context,Context,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
data-modelling.data,Data,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
data-modelling.denormalization,Denormalization,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
data-modelling.entity,Entity,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
data-modelling.enum,Enum,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
data-modelling.evolution,Evolution,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
data-modelling.field,Field,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
data-modelling.identity,Identity,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
data-modelling.invariant,Invariant,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
dispatch.binding,Binding,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
dispatch.cache,Cache,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
dispatch.devirtualization,Devirtualization,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
dispatch.dictionary,Dictionary,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
dispatch.dispatch,Dispatch,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
dispatch.double,Double,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
dispatch.dynamic,Dynamic,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
dispatch.extension,Extension,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
dispatch.inline,Inline,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
dispatch.interception,Interception,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
dispatch.invocation,Invocation,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
dispatch.late,Late,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
dispatch.lookup,Lookup,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
dispatch.matching,Matching,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
dispatch.message,Message,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
effects-sequencing.algebraic,Algebraic,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
effects-sequencing.applicative,Applicative,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
effects-sequencing.async,Async,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
effects-sequencing.cancellation,Cancellation,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
effects-sequencing.continuation,Continuation,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
effects-sequencing.delimited,Delimited,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
effects-sequencing.effect,Effect,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
effects-sequencing.exception,Exception,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
effects-sequencing.generator,Generator,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
effects-sequencing.handler,Handler,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
effects-sequencing.io,Io,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
effects-sequencing.laziness,Laziness,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
effects-sequencing.monad,Monad,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
effects-sequencing.nondeterminism,Nondeterminism,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
effects-sequencing.purity,Purity,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
error-signalling.abort,Abort,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
error-signalling.aggregation,Aggregation,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
error-signalling.atomicity,Atomicity,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
error-signalling.cancellation,Cancellation,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
error-signalling.checked,Checked,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
error-signalling.cleanup,Cleanup,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
error-signalling.codes,Codes,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
error-signalling.context,Context,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
error-signalling.error,Error,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
error-signalling.exception,Exception,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
error-signalling.exceptions,Exceptions,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
error-signalling.failure,Failure,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
error-signalling.option,Option,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
error-signalling.panic,Panic,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
evaluation-order.associativity,Associativity,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
evaluation-order.by,By,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
evaluation-order.call,Call,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
evaluation-order.circuit,Circuit,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
evaluation-order.comprehension,Comprehension,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
evaluation-order.continuation,Continuation,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
evaluation-order.defined,Defined,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
evaluation-order.destruction,Destruction,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
evaluation-order.effect,Effect,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
evaluation-order.evaluation,Evaluation,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
evaluation-order.expansion,Expansion,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
evaluation-order.forcing,Forcing,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
evaluation-order.initialization,Initialization,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
evaluation-order.lazy,Lazy,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class,first-class
